№ п/п;Заказчик;"Тип Материала
(Основ/вспом)";Наименование работ;Ед. изм.;Объем;Коэф. расхода мат-ла;Цена работы, руб за ед.;Цена мат-ла с НДС без учета доставки;Доставка материала;Итого;;;;;;
;1;2;3;4;5;6;7;8;9;10;;;;;;
1;Заказчик;;ДЕМОНТАЖ СТЕН: толщиной 200мм из газосиликатных  блоков (ГСБ);м3;17,2000;;3 200,00;;;55 040,00;;;;;;
1.1;раб;;ДЕМОНТАЖ СТЕН: толщиной 200мм из газосиликатных  блоков (ГСБ);м3;17,2000;;3 200,0000;;;55 040,0000;;;;;;
2;Заказчик;;ДЕМОНТАЖ металлических конструкций;т;0,6400;;10 000,00;;;6 400,00;;;;;;
2.1;раб;;ДЕМОНТАЖ металлических конструкций;т;0,6400;;10 000,0000;;;6 400,0000;;;;;;
3;Заказчик;;Вынос мусора после демонтажа;тн;12,0400;;500,00;;;6 020,00;;;;;;
3.1;раб;;Вынос мусора после демонтажа;тн;12,0400;;500,0000;;;6 020,0000;;;;;;
4;Заказчик;;Вывоз мусора на полигон;м3;17,2000;;2 000,00;;;34 400,00;;;;;;
4.1;раб;;Вывоз мусора на полигон;м3;17,2000;;2 000,0000;;;34 400,0000;;;;;;
5;Заказчик;;Кладка СТЕН: толщиной 200мм из газосиликатных  блоков (ГСБ) (с разгрузкой, подачей материала, приготовлением раствора) (09.23г);м3;89,5200;;3 600,00;12 057,17;;1 401 629,60;;;;;;
5.1;раб;;Кладка СТЕН: толщиной 200мм из газосиликатных  блоков (ГСБ) (с разгрузкой, подачей материала, приготовлением раствора) (09.23г);м3;89,5200;;3 600,0000;;;322 272,0000;;;;;;
5.1.1;мат;Основ;Блоки газосиликатные (ячеистые) стеновые Д-500 толщ. 200 мм (м3);м3;89,52;1,00;;6 451,34;100,00;586 475,70;;;;;;
5.1.2;мат;Основ;Дюбель-гвоздь 6*40 (шт);шт;89,52;0,50;;0,86;100,00;4 514,49;;;;;;
5.1.3;мат;Основ;Клей (сухая смесь) для пеноблоков (кг);кг;89,52;1,00;;18,60;100,00;10 617,07;;;;;;
5.1.4;мат;Основ;Лента прямая (перфолента) 25мм (м);м;89,52;1,00;;17,80;100,00;10 545,46;;;;;;
5.1.5;мат;Основ;Сетка базальтовая СБНПс Гридекс 50 яч. 25х25 ш.100 (м2);м2;89,52;30,00;;70,29;100,00;457 330,82;;;;;;
5.1.6;мат;Основ;Смесь сухая (пескобетон) Кварц М-400 (кг);кг;89,52;1,00;;10,30;100,00;9 874,06;;;;;;
6;Заказчик;;Доплата за кладку стен высотой от 5м и выше из Газосиликатных блоков (ГСБ) (09.23г);м3;89,5200;;1 440,00;;;128 908,80;;;;;;
6.1;раб;;Доплата за кладку стен высотой от 5м и выше из Газосиликатных блоков (ГСБ) (09.23г);м3;89,5200;;1 440,0000;;;128 908,8000;;;;;;
7;Заказчик;;Изготовление и монтаж металлоконструкций кладки: усиление кладки (09.23г);т;3,3230;;30 000,00;74 500,00;;347 253,49;;;;;;
7.1;раб;;Изготовление и монтаж металлоконструкций кладки: усиление кладки (09.23г);т;3,3230;;30 000,0000;;;99 690,0000;;;;;;
7.1.1;мат;Основ;Швеллер гнут. 200*80*5 (м/п=13,25 кг) (тн);т;3,32;1,00;;74 500,00;;247 563,49;;;;;;
8;Заказчик;;Устройство примыканий ВНУТРЕННЕЙ кладки к ПЕРЕКРЫТИЯМ с двух сторон (минплита, герметик или пена)+зачеканка раствором или мастикой (03.23г);м;72,1950;;50,00;8 438,15;;612 801,99;;;;;;
8.1;раб;;Устройство примыканий ВНУТРЕННЕЙ кладки к ПЕРЕКРЫТИЯМ с двух сторон (минплита, герметик или пена)+зачеканка раствором или мастикой (03.23г);м;72,1950;;50,0000;;;3 609,7500;;;;;;
8.1.1;мат;Основ;Минплита Изовол Ст-90 1200х600х50 (м3);м3;72,20;1,00;;8 283,00;100,00;605 210,69;;;;;;
8.1.2;мат;Основ;Смесь сухая (пескобетон) Кварц М-400 (кг);кг;72,20;0,50;;10,30;100,00;3 981,55;;;;;;
